2579,1.0,0.0,0.0,"[[82, 150]]","[120.0557, 150.0]",2579,0.0,0.0,0.0,"[[82, 150]]","[21.115, 62.7436]"
5071,1.0,1.0,0.0,"[[118, 136]]","[113.3273, 139.8604]",5071,1.0,1.0,1.0,"[[118, 136]]","[116.5591, 137.5531]"
5342,0.5,0.5,0.5,"[[56, 76], [96, 150]]","[103.6996, 150.0]",5342,0.5,0.5,0.5,"[[56, 76], [96, 150]]","[104.5305, 150.0]"
8636,1.0,0.0,0.0,"[[36, 60]]","[50.9875, 59.3408]",8636,1.0,1.0,0.0,"[[36, 60]]","[43.1903, 61.9729]"
8749,1.0,1.0,1.0,"[[78, 92]]","[77.736, 93.4228]",8749,1.0,1.0,1.0,"[[78, 92]]","[77.8736, 91.6507]"
2638,0.6666666666666666,0.3333333333333333,0.0,"[[0, 74], [76, 142], [144, 150]]","[0.0, 144.0479]",2638,0.6666666666666666,0.0,0.0,"[[0, 74], [76, 142], [144, 150]]","[8.0543, 144.5806]"
5979,1.0,1.0,1.0,"[[44, 136]]","[46.7938, 131.5653]",5979,1.0,1.0,1.0,"[[44, 136]]","[51.0004, 150.0]"
6223,1.0,1.0,1.0,"[[10, 108]]","[15.1288, 110.1933]",6223,1.0,0.0,0.0,"[[10, 108]]","[10.1262, 44.3981]"
8783,1.0,1.0,1.0,"[[0, 144]]","[8.6342, 138.9636]",8783,0.0,0.0,0.0,"[[0, 144]]","[106.1739, 141.7544]"
8783,1.0,1.0,1.0,"[[0, 144]]","[8.6342, 138.9636]",8783,0.0,0.0,0.0,"[[0, 144]]","[106.1739, 141.7543]"
781,0.0,0.0,0.0,"[[6, 20]]","[40.0618, 47.7503]",781,0.0,0.0,0.0,"[[6, 20]]","[141.8924, 150.0]"
3359,0.3333333333333333,0.3333333333333333,0.3333333333333333,"[[0, 2], [52, 74], [84, 92]]","[51.7824, 70.1054]",3359,0.0,0.0,0.0,"[[0, 2], [52, 74], [84, 92]]","[0.0, 7.2447]"
3503,0.5,0.0,0.0,"[[52, 88], [96, 98]]","[72.8884, 98.2427]",3503,0.0,0.0,0.0,"[[52, 88], [96, 98]]","[3.4033, 22.831]"
4625,0.0,0.0,0.0,"[[34, 62]]","[103.1662, 108.7056]",4625,1.0,1.0,1.0,"[[34, 62]]","[31.2823, 63.6459]"
7803,0.0,0.0,0.0,"[[26, 46]]","[68.1597, 123.8195]",7803,0.0,0.0,0.0,"[[26, 46]]","[83.613, 136.9657]"
8056,1.0,1.0,1.0,"[[106, 122]]","[105.4874, 122.9016]",8056,0.0,0.0,0.0,"[[106, 122]]","[138.4128, 141.7752]"
2321,0.0,0.0,0.0,"[[40, 90]]","[83.3057, 117.7375]",2321,1.0,0.0,0.0,"[[40, 90]]","[58.399, 79.0051]"
2343,1.0,1.0,1.0,"[[0, 46]]","[0.0, 42.6235]",2343,1.0,1.0,1.0,"[[0, 46]]","[0.0, 40.7007]"
5926,1.0,1.0,1.0,"[[0, 14]]","[0.0, 12.7736]",5926,1.0,1.0,1.0,"[[0, 14]]","[0.0, 15.2533]"
9760,1.0,1.0,1.0,"[[32, 54]]","[31.7427, 47.7767]",9760,1.0,1.0,0.0,"[[32, 54]]","[31.5555, 45.4272]"
10029,1.0,1.0,1.0,"[[110, 124]]","[111.5685, 125.5341]",10029,0.0,0.0,0.0,"[[110, 124]]","[82.8733, 103.3855]"
